"year","serata","artist","song","tweet_datetime","tweet_time","tweet_hour","tweet_minute","tweet_id"
"2026","2","Patty Pravo","Opera","2026-02-25 20:35:39","20:35:39","20","35","2026758010832364014"
"2026","2","LDA & Aka 7even","Poesie clandestine","2026-02-25 20:50:00","20:50:00","20","50","2026761618927854058"
"2026","2","Enrico Nigiotti","Ogni volta che non so volare","2026-02-25 20:50:28","20:50:28","20","50","2026761737744101517"
"2026","2","Tommaso Paradiso","I romantici","2026-02-25 21:13:50","21:13:50","21","13","2026767618116305021"
"2026","2","Elettra Lamborghini","Voilà","2026-02-25 21:17:38","21:17:38","21","17","2026768574719619151"
"2026","2","Ermal Meta","Stella stellina","2026-02-25 21:32:26","21:32:26","21","32","2026772298183659950"
"2026","2","Levante","Sei tu","2026-02-25 22:07:26","22:07:26","22","7","2026781107862012180"
"2026","2","Bambole di pezza","Resta con me","2026-02-25 22:13:44","22:13:44","22","13","2026782692042215742"
"2026","2","Chiello","Ti penso sempre","2026-02-25 22:28:21","22:28:21","22","28","2026786370455482639"
"2026","2","J-Ax","Italia Starter Pack","2026-02-25 22:43:50","22:43:50","22","43","2026790266485518731"
"2026","2","Nayt","Prima che","2026-02-25 22:46:35","22:46:35","22","46","2026790961330725138"
"2026","2","Fulminacci","Stupida sfortuna","2026-02-25 23:05:55","23:05:55","23","5","2026795824030642644"
"2026","2","Fedez & Masini","Male necessario","2026-02-25 23:16:28","23:16:28","23","16","2026798480971157957"
"2026","2","Dargen D’Amico","AI AI","2026-02-25 23:33:56","23:33:56","23","33","2026802878036267138"
"2026","2","Ditonellapiaga","Che fastidio!","2026-02-25 23:45:29","23:45:29","23","45","2026805784588190181"
